Date,Amount,Description,Keyword,Merchant,Category,Exception
27/10/20,-10.9,LIME ESPRESSO SANDWI     SYDNEY      NSW,Lime,Lime,Restaurant,
26/10/20,-9.9,CASTLE HILL DELICIOU     CASTLE HILL NSW,Delicious,Delicious,Restaurant,
25/10/20,-43,ALOONAK                  RYDE        NSW,Aloonak,Aloonak,Restaurant,
24/10/20,-385,KARGAR & ASSOC           PARRAMATTA  NSW,Kargar,KargarAccountant,LegalServices,
24/10/20,-6,HORNSBY SH CNCL FAGAN    GALSTON,cnclFagan,FaganPark,Car-Parking,
24/10/20,-17.1,MCDONALDS NORTHMEAD      NORTHMEAD,McDonalds,McDonalds,Restaurant,
24/10/20,-90,COLES EXPRESS 1687       DURAL       AUS,Coles,Coles,Groceries,
24/10/20,-5.2,COLES EXPRESS 1687       DURAL       AUS,Coles,Coles,Groceries,
23/10/20,-12,LIME ESPRESSO SANDWI     SYDNEY      NSW,Lime,Lime,Restaurant,
21/10/20,-95,TREACHERY CAMP PL        SEAL ROCKS  NSW,TreacheryCamp,TreacheryCamping,Accommodation,
17/10/20,-499,FLICK ANTICIMEX          HOMEBUSH,FLICKANTICIMEX,Flick,House-Pesticide,
17/10/20,-45.55,KELLYVILLE EGGS          KELLYVILLE  NSW,KellyvilleEggs,KellyvilleEggs,Groceries,
17/10/20,-16.1,WOOLWORTHS      1561     KELLYVILLENTNS,Woolworths,Woolworths,Groceries,
16/10/20,-65,KASART HAIR              LINDFIELD   NSW,KasartHair,KasartHair,Beauty,
16/10/20,-19.98,SQ *YST HEALTH CO. PTY   Sydney      AUS,YSTHealth,YSTHealth,Medical-Medicine,
13/10/20,-69.55,WOOLWORTHS      1561     KELLYVILLENTNS,Woolworths,Woolworths,Groceries,
13/10/20,-112.43,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
13/10/20,-9.26,INTEREST CHARGES,InterestCharges,CreditCardInterest,Interest,
9/10/20,-89.2,WOOLWORTHS      1561     KELLYVILLENTNS,Woolworths,Woolworths,Groceries,
9/10/20,-30.75,Subway Pennant Hills     Pennant HillNSW,Subway,Subway,Restaurant,
9/10/20,-63.03,CALTEX STAR MART LONG    LONG JETTY,Caltex,Caltex,Car-Fuel,
8/10/20,-5.49,PAYPAL *GOOGLE BINARY    4029357733  AUS,Wikipedia,Wikipedia,Charity,
8/10/20,1883.46,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
4/10/20,-52.68,ALDI STORES - NORTH KE   KELLYVILLE,Aldi,Aldi,Groceries,
3/10/20,-50.99,KELLYVILLE EGGS          KELLYVILLE  NSW,KellyvilleEggs,KellyvilleEggs,Groceries,
3/10/20,-35.05,Subway Pennant Hills     Pennant HillNSW,Subway,Subway,Restaurant,
3/10/20,-82.08,WOOLWORTHS      1561     KELLYVILLENTNS,Woolworths,Woolworths,Groceries,
2/10/20,-13.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
1/10/20,-9.95,Subway Kent              Sydney      NSW,Subway,Subway,Restaurant,
28/9/20,-40.18,RMS ETOLL PH 131865      PARRAMATTA  NSW,RMS-Etoll,RMS-Etoll,Car-Tolls,
28/9/20,-7.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
28/9/20,-12.9,X-OPORTO SYDNEY CENQPS   SYDNEY,Oporto,Oporto,Restaurant,
27/9/20,-1073,COCO REPUBLIC            CASTLE HILL NSW,CocoRepublic,CocoRepublic,Furniture,
22/9/20,-44.1,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
19/9/20,-50,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
17/9/20,-13.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
16/9/20,-95.11,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
16/9/20,-207,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
14/9/20,-192.56,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
11/9/20,-13.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
8/9/20,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
7/9/20,-80.01,COLES EXPRESS 1639       BAULKHAM H  AUS,Coles,Coles,Groceries,
7/9/20,-100,TFNSW RAIL OPAL          PARRAMATTA,TransportForNSW,TransportForNSW,PublicTransport,
7/9/20,-100,TFNSW RAIL OPAL          PARRAMATTA,TransportForNSW,TransportForNSW,PublicTransport,
5/9/20,-18.5,SAHARA STREET FOOD       KELLYVILLE  NSW,SaharaStreetFood,SaharaStreetFood,Restaurant,
5/9/20,-30,LAVISH HAIR & BEAUTY B   KELLYVILLE,Lavish,Lavish,Hair,
4/9/20,-12.5,SQ *JOE'S SANDWICH BAR   Pyrmont     AUS,JoesSandwichBar,JoesSandwichBar,Restaurant,
3/9/20,-10.9,LIME ESPRESSO SANDWI     SYDNEY      NSW,Lime,Lime,Restaurant,
1/9/20,-7.25,Subway Kent              Sydney      NSW,Subway,Subway,Restaurant,
1/9/20,-10,LIME ESPRESSO SANDWI     SYDNEY      NSW,Lime,Lime,Restaurant,
28/8/20,-10.9,LIME ESPRESSO SANDWI     SYDNEY      NSW,Lime,Lime,Restaurant,
27/8/20,-12.9,X-OPORTO SYDNEY CENQPS   SYDNEY,Oporto,Oporto,Restaurant,
25/8/20,-8.3,CITYOFSYDNEY PARKING     SYDNEY,CityOfSydneyParking,CityOfSydneyParking,Car-Parking,
25/8/20,-14.4,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
23/8/20,-29,DAISO 2008               MACQUARIE PANSW,Daiso,Daiso,House-Gardening,
23/8/20,-275,ASHRAF OBAID             NORTH RYDE  NSW,AshrafObaid,AshrafObaid,Medical-Dentist,
23/8/20,-9.9,SQ *LEWRAP MACQUARIE P   North Ryde  AUS,LeWrap,LeWrap,Restaurant,
23/8/20,-97.9,LEVI STRAUSS AUSTRAL     MACQUARIE PA,Levi,Levi,Clothes,
21/8/20,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
20/8/20,-10.95,Subway Kent              Sydney      NSW,Subway,Subway,Restaurant,
20/8/20,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
19/8/20,-551.7,AAMI CTP                 BRISBANE    QLD,Aami,Aami,Car-Insurance,
19/8/20,1000.07,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
17/8/20,-351.03,FLEXICARDS AUSTRALIA P   SYDNEY      NSW,FlexiCards(HUMM),FlexiCards(HUMM),Piano,
17/8/20,-11,GREEN ORIENTAL PTY LTD   SYDNEY,GreenOriental,SoulOrigin,Restaurant,
12/8/20,-103.92,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
12/8/20,-4.8,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
11/8/20,-80,TRANSPORTFORNSW OPAL     CHIPPENDALE,TransportForNSW,TransportForNSW,PublicTransport,
11/8/20,-80,TRANSPORTFORNSW OPAL     CHIPPENDALE,TransportForNSW,TransportForNSW,PublicTransport,
11/8/20,-5.3,HAXGLOW PTY LTD          GLEBE,HaxGlow,HaxGlow,Restaurant,
11/8/20,-14.9,LA-ONG THAI              BROADWAY,LaOng,LaOng,Restaurant,
11/8/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
9/8/20,-14,MISSING PIECE CAFE       NORTH RYDE  NSW,MissingPieceCafe,MissingPieceCafe,Restaurant,
9/8/20,-76.82,EG FUELCO 1511 MARSFIE   MARSFIELD   NSW,Fuelco,Fuelco,Car-Fuel,
9/8/20,-349.36,MYER  MACQUARIE          NORTH RYDE  NSW,Myer,Myer,Shopping,
9/8/20,-41.92,MYER  MACQUARIE          NORTH RYDE  NSW,Myer,Myer,Shopping,
9/8/20,-50,DAVID JONES LIMITED      MACQUARIE PA,DavidJones,DavidJones,Shopping,
8/8/20,-4.8,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
7/8/20,-8.95,Subway Kent              Sydney      NSW,Subway,Subway,Restaurant,
6/8/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
5/8/20,-14.4,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
5/8/20,-4.8,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
4/8/20,-4.8,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
15/7/20,5251.48,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
15/7/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
14/7/20,-103.92,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
14/7/20,-13.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
14/7/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
13/7/20,-89,MYER  SYDNEY CITY        SYDNEY      NSW,Myer,Myer,Shopping,
13/7/20,-12.9,X-OPORTO SYDNEY CENQPS   SYDNEY,Oporto,Oporto,Restaurant,
11/7/20,-189.81,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
11/7/20,-4.8,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
10/7/20,-13.9,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
9/7/20,-9.95,Subway Kent              Sydney      NSW,Subway,Subway,Restaurant,
2/7/20,-45,KASART HAIR              LINDFIELD   NSW,KasartHair,KasartHair,Beauty,
2/7/20,-14.04,Nok Nok Thai Eating H    Sydney      NSW,NokNok,NokNok,Restaurant,
2/7/20,-9,THE TRINITY RJ PTY LTD   SYDNEY,Trinity,Trinity,Restaurant,
29/6/20,-46.58,WOOLWORTHS 1561          KELLYVILLE,Woolworths,Woolworths,Groceries,
28/6/20,-24.99,ROBINS KITCHEN ROUSE     ROUSE HILL  NSW,RobinKitchen,RobinKitchen,Restaurant,
28/6/20,-26.9,MR SNAIL PTY LTD   QPS   ROUSE HILL,MrSnail,MrSnail,Restaurant,
28/6/20,-109,JUST JEANS               ROUSE HILL,JustJeans,JustJeans,Clothes,
25/6/20,-25,PAYPAL *BLACKDOGINS      4029357733  AUS,BlackDog,BlackDog,Charity,
25/6/20,-12.9,X-OPORTO SYDNEY CENQPS   SYDNEY,Oporto,Oporto,Restaurant,
22/6/20,-60,TRANSPORTFORNSW OPAL     CHIPPENDALE,TransportForNSW,TransportForNSW,PublicTransport,
22/6/20,1227.67,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
19/6/20,-6.25,Subway Kent              Sydney      NSW,Subway,Subway,Restaurant,
16/6/20,-460.55,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
15/6/20,-75.99,COLES EXPRESS 1639       BAULKHAM H  AUS,Coles,Coles,Groceries,
13/6/20,-4000,GOSPEL PIANO             RYDE        NSW,GospelPiano,GospelPiano,Piano,
12/6/20,-103.92,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
7/6/20,-220,L OCCITANE MACQUARIE     NORTH RYDE  NSW,Loccitane,Loccitane,Beauty,
7/6/20,-24.95,CR MACQUARIE             NORTH RYDE  NSW,CRMACQUARIE,CountryRoad,Clothes,
7/6/20,-29.95,CR MACQUARIE             NORTH RYDE  NSW,CRMACQUARIE,CountryRoad,Clothes,
5/6/20,-4.8,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
4/6/20,-4.5,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
3/6/20,-12.9,X-OPORTO SYDNEY CENQPS   SYDNEY,Oporto,Oporto,Restaurant,
1/6/20,887.56,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
23/5/20,-455,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
23/5/20,-89.9,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
23/5/20,-58.8,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
23/5/20,-326.87,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
12/5/20,-103.92,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
9/5/20,-131.66,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
9/5/20,-266.44,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
7/5/20,2661.39,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
30/4/20,-137.7,TYRRELLS VINEYARDS PTY   POKOLBIN    NSW,Tyrrells,Tyrrells,Drinks,
27/4/20,-15.7,POST KELLYVILLE LPO KE   KELLYVILLE  WAU,Post,Post,Post,
25/4/20,-128.22,WOOLWORTHS 1561          KELLYVILLE,Woolworths,Woolworths,Groceries,
15/4/20,-103.92,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
10/4/20,-76.15,WOOLWORTHS 1561          KELLYVILLE,Woolworths,Woolworths,Groceries,
9/4/20,-1013.2,HOME AFFAIRS - ONLINE    SOUTHPORT,AustraliaImmigration,AustraliaImmigration,Visa,
9/4/20,-1013.2,HOME AFFAIRS - ONLINE    SOUTHPORT,AustraliaImmigration,AustraliaImmigration,Visa,
5/4/20,-134.3,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
5/4/20,-360.06,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
1/4/20,2460.19,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
18/3/20,-40.18,RMS ETOLL PH 131865      PARRAMATTA  NSW,RMS-Etoll,RMS-Etoll,Car-Tolls,
17/3/20,-24.3,WILSON PARKING SYD235    SYDNEY      NSW,WilsonParking,WilsonParking,Car-Parking,
12/3/20,-103.92,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
10/3/20,-4.8,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
7/3/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
5/3/20,-39.45,NANDOS MACQUARIE CEN     NORTH RYDE  NSW,Nandos,Nandos,Restaurant,
5/3/20,-999,JB HI FI MACQUARIE       NORTH RYDE  NSW,JBHiFi,JBHiFi,Electronics,
5/3/20,-4.8,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
4/3/20,-23.29,WILSON PARKING SYD235    SYDNEY      NSW,WilsonParking,WilsonParking,Car-Parking,
4/3/20,-10,TOMTIN PTY LTD           SYDNEY      NSW,Tomtin,UrbanTastyFood,Restaurant,
3/3/20,-9.95,SUBWAY MARKET STREET     SYDNEY      NSW,Subway,Subway,Restaurant,
29/2/20,-4.75,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
29/2/20,-126.29,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
28/2/20,1246.33,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
26/2/20,-600,MICAR CARE PTY LTD       NORTH PARRAMNSW,MicarCare,MicarCare,Car-Service,
26/2/20,-60,KIAN BREAD PTY LTD       BAULKHAM HILNSW,KianBread,KianBread,Groceries,
26/2/20,-16,KIAN BREAD PTY LTD       BAULKHAM HILNSW,KianBread,KianBread,Groceries,
26/2/20,-120,TFNSW RAIL OPAL          PARRAMATTA,TransportForNSW,TransportForNSW,PublicTransport,
22/2/20,-27.9,Syd Aprt Intnl Carp50    Sydney      NSW,SydAprtIntnl,SydneyAirportParking,Car-Parking,
17/2/20,-8.7,SQ *KAHII                Pyrmont     AUS,Kahii,Kahii,Restaurant,
15/2/20,-20.18,PLINE PH MANLY           MANLY,PriceLinePharmacy,PriceLinePharmacy,Medical-Medicine,
15/2/20,-62.5,HOT CHOC PTY LTD         SYDNEY      NSW,HotChoc,HotChoc,Restaurant,
15/2/20,-40,TRANSPORTFORNSW OPAL     CHIPPENDALE,TransportForNSW,TransportForNSW,PublicTransport,
15/2/20,-10.97,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
14/2/20,-34.97,SEA TO SUMMIT PTY LTD    SYDNEY,SeaToSummit,SeaToSummit,Leisure,
13/2/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
13/2/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
12/2/20,-103.92,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
12/2/20,-14.62,INTEREST CHARGES,InterestCharges,CreditCardInterest,Interest,
9/2/20,-51,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
8/2/20,-434.99,KATHMANDU PTY LIMITE     DRUMMOYNE,Kathmandu,Kathmandu,Shopping,
7/2/20,-80,TRANSPORTFORNSW OPAL     CHIPPENDALE,TransportForNSW,TransportForNSW,PublicTransport,
6/2/20,1146.74,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
31/1/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
30/1/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
29/1/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
25/1/20,-75.39,IKEA RHODES              RHODES      NSW,Ikea,Ikea,Furniture,
25/1/20,-72.5,IKEA RHODES              RHODES      NSW,Ikea,Ikea,Furniture,
25/1/20,-88.74,7-ELEVEN 2179            ARTARMON    NSW,SevenEleven,SevenEleven,Car-Fuel,
25/1/20,1.5,IKEA RHODES              RHODES      NSW,Ikea,Ikea,Furniture,
25/1/20,-4.8,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
24/1/20,-10,TOMTIN PTY LTD           SYDNEY      NSW,Tomtin,UrbanTastyFood,Restaurant,
21/1/20,-21.58,WOOLWORTHS 1561          KELLYVILLE,Woolworths,Woolworths,Groceries,
21/1/20,-9.6,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
19/1/20,-164.51,BUNNINGS 339000          CASTLE HILL,Bunnings,Bunnings,House-Tools,
15/1/20,-5,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
15/1/20,-42.2,MAD MEX FRESH MEXICA     SYDNEY,MadMex,MadMex,Restaurant,
14/1/20,-103.92,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
13/1/20,-40.18,RMS ETOLL PH 131865      PARRAMATTA  NSW,RMS-Etoll,RMS-Etoll,Car-Tolls,
13/1/20,-76.51,INTEREST CHARGES,InterestCharges,CreditCardInterest,Interest,
6/1/20,4433.27,"PAYMENT RECEIVED, THANK YOU",PAYMENTRECEIVED,CBA-Credit,CreditCardRepayment,
6/1/20,-14.4,MAD MEX FRESH MEXICQPS   SYDNEY,MadMex,MadMex,Restaurant,
4/1/20,-14.4,TRANSPORTFORNSW TAP      SYDNEY,TransportForNSW,TransportForNSW,PublicTransport,
31/12/19,5.26,HERTZ NZ                 CHRISTCHURCH ##0120           5.47 NZ DOLLAR,Hertz,Hertz,Car-Rental,
23/12/19,-40.18,RMS ETOLL PH 131865      PARRAMATTA  NSW,RMS-Etoll,RMS-Etoll,Car-Tolls,
17/12/19,-10.95,SUBWAY MARKET STREET     SYDNEY      NSW,Subway,Subway,Restaurant,
16/12/19,-10,TOMTIN PTY LTD           SYDNEY      NSW,Tomtin,UrbanTastyFood,Restaurant,
16/12/19,-6,BUTTER SALT PEPPER       SYDNEY      NSW,ButterSaltPepper,ButterSaltPepper,Restaurant,
15/12/19,-23.46,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
15/12/19,-782.07,HERTZ NZ                 CHRISTCHURCH ##1219         815.12 NZ DOLLAR,Hertz,Hertz,Car-Rental,
13/12/19,-1.49,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
13/12/19,-49.82,GAS WHAKAMARU            WHAKAMARU ##1219          51.98 NZ DOLLAR,WhakamaruGasStation,WhakamaruGasStation,Car-Fuel,
12/12/19,-103.92,BUDGET DIRECT            TOOWONG     QLD,BudgetDirect,BudgetDirect,Car-Insurance,
12/12/19,-7.32,INTEREST CHARGES,InterestCharges,CreditCardInterest,Interest,
11/12/19,-0.55,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
11/12/19,-18.25,OCEAN BEACH EATERY       FOXTON ##1219          19.00 NZ DOLLAR,OceanBeachEatery,OceanBeachEatery,Restaurant,
11/12/19,-2.25,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
11/12/19,-75.01,OIKOS RESTAURANT         WELLINGTON ##1219          78.00 NZ DOLLAR,Oikos,Oikos,Restaurant,
11/12/19,-0.13,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
11/12/19,-4.42,COUNTDOWN TAUPO          TAUPO ##1219           4.60 NZ DOLLAR,CountDown,CountDown,Groceries,
10/12/19,-1.8,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
10/12/19,-60,Z TURANGI                TURANGI ##1219          62.44 NZ DOLLAR,Zturangi,Zturangi,Car-Fuel,
9/12/19,-2.88,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
9/12/19,-96.09,WAIRAKEI TERRACES        TAUPO ##1219         100.00 NZ DOLLAR,WairakeiTerraces,WairakeiTerraces,Leisure,
9/12/19,-0.58,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
9/12/19,-19.22,WAIRAKEI TERRACES        TAUPO ##1219          20.00 NZ DOLLAR,WairakeiTerraces,WairakeiTerraces,Leisure,
9/12/19,-0.17,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
9/12/19,-5.77,WAIRAKEI TERRACES        TAUPO ##1219           6.00 NZ DOLLAR,WairakeiTerraces,WairakeiTerraces,Leisure,
9/12/19,9.61,WAIRAKEI TERRACES        TAUPO ##1219          10.00 NZ DOLLAR,WairakeiTerraces,WairakeiTerraces,Leisure,
9/12/19,-0.75,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
9/12/19,-24.87,Waiotapu Thermal Wonde   Waiotapu    Wai ##1219          25.90 NZ DOLLAR,WaiotapuThermalWonde,WaiotapuThermalWonde,Leisure,
8/12/19,-3.25,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
8/12/19,-108.34,SKYCITY HOTEL            AUCKLAND ##1219         112.75 NZ DOLLAR,SkyCityHotelAuckland,SkyCityHotelAuckland,Accommodation,
8/12/19,-0.95,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
8/12/19,-31.71,SKYCITY THE FEDERAL DE   AUCKLAND ##1219          33.00 NZ DOLLAR,SkyCityHotelAuckland,SkyCityHotelAuckland,Accommodation,
8/12/19,-2.83,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
8/12/19,-94.35,THE STEAK HOUSE TAUPO    TAUPO ##1219          98.25 NZ DOLLAR,TheSteakHouseTaupo,TheSteakHouseTaupo,Restaurant,
8/12/19,-2.87,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
8/12/19,-95.72,COUNTDOWN TAUPO          TAUPO ##1219          99.67 NZ DOLLAR,CountDown,CountDown,Groceries,
8/12/19,-0.63,INTNL TRANSACTION FEE,INTNLTRANSACTIONFEE,CBA,BankingFee,
