"","eventID","caseID","eventType","eventTime","variable","value"
"47","PRNT.1.7",1,"Print Statement",2010-07-21 00:01:55,"Occurance","1"
"48","PRNT.1.8",1,"Print Statement",2010-07-25 19:36:27,"Occurance","1"
"49","PRNT.1.9",1,"Print Statement",2010-08-01 00:52:55,"Occurance","1"
"50","PRNT.1.10",1,"Print Statement",2010-08-10 02:47:07,"Occurance","1"
"51","PRNT.1.11",1,"Print Statement",2010-08-11 17:16:23,"Occurance","1"
"52","PRNT.1.12",1,"Print Statement",2010-08-12 17:05:44,"Occurance","1"
"53","PRNT.1.13",1,"Print Statement",2010-08-14 16:17:52,"Occurance","1"
"54","PRNT.1.14",1,"Print Statement",2010-08-16 10:24:49,"Occurance","1"
"55","PRNT.1.15",1,"Print Statement",2010-08-17 10:49:54,"Occurance","1"
"56","PRNT.1.16",1,"Print Statement",2010-08-20 17:22:52,"Occurance","1"
"57","PRNT.1.17",1,"Print Statement",2010-09-14 22:58:38,"Occurance","1"
"58","PRNT.1.18",1,"Print Statement",2010-09-15 07:32:29,"Occurance","1"
"59","PRNT.1.19",1,"Print Statement",2010-09-16 07:55:27,"Occurance","1"
"60","PRNT.1.20",1,"Print Statement",2010-09-17 18:37:00,"Occurance","1"
"61","PRNT.1.21",1,"Print Statement",2010-09-20 21:06:23,"Occurance","1"
"62","PRNT.1.22",1,"Print Statement",2010-09-28 06:40:17,"Occurance","1"
"63","PRNT.1.23",1,"Print Statement",2010-09-30 04:42:40,"Occurance","1"
"64","PRNT.1.24",1,"Print Statement",2010-09-30 07:00:47,"Occurance","1"
"65","PRNT.1.25",1,"Print Statement",2010-10-02 12:37:30,"Occurance","1"
"66","PRNT.1.26",1,"Print Statement",2010-10-10 15:05:01,"Occurance","1"
"67","PRNT.1.27",1,"Print Statement",2010-10-11 04:37:03,"Occurance","1"
"68","PRNT.1.28",1,"Print Statement",2010-10-13 16:47:20,"Occurance","1"
"69","PRNT.1.29",1,"Print Statement",2010-10-19 01:32:01,"Occurance","1"
"70","PRNT.1.30",1,"Print Statement",2010-10-20 03:08:38,"Occurance","1"
"71","PRNT.1.31",1,"Print Statement",2010-10-20 18:34:56,"Occurance","1"
"72","PRNT.1.32",1,"Print Statement",2010-10-21 09:53:43,"Occurance","1"
"73","PRNT.1.33",1,"Print Statement",2010-10-21 21:48:05,"Occurance","1"
"74","PRNT.1.34",1,"Print Statement",2010-10-22 23:10:24,"Occurance","1"
"75","PRNT.1.35",1,"Print Statement",2010-10-25 18:57:26,"Occurance","1"
"76","PRNT.1.36",1,"Print Statement",2010-10-26 10:46:30,"Occurance","1"
"77","PRNT.1.37",1,"Print Statement",2010-10-26 15:15:46,"Occurance","1"
"78","PRNT.1.38",1,"Print Statement",2010-10-29 04:29:35,"Occurance","1"
"79","PRNT.1.39",1,"Print Statement",2010-10-30 06:06:36,"Occurance","1"
"80","PRNT.1.40",1,"Print Statement",2010-10-30 12:13:40,"Occurance","1"
"81","PRNT.1.41",1,"Print Statement",2010-11-10 19:20:37,"Occurance","1"
"82","PRNT.1.42",1,"Print Statement",2010-11-20 22:22:19,"Occurance","1"
"83","PRNT.1.43",1,"Print Statement",2010-11-23 23:46:45,"Occurance","1"
"84","PRNT.1.44",1,"Print Statement",2010-11-25 16:49:37,"Occurance","1"
"85","PRNT.1.45",1,"Print Statement",2010-11-28 04:58:34,"Occurance","1"
"86","PRNT.1.46",1,"Print Statement",2010-11-28 13:30:50,"Occurance","1"
"87","PRNT.1.47",1,"Print Statement",2010-11-29 17:27:45,"Occurance","1"
"88","PRNT.1.48",1,"Print Statement",2010-11-30 19:22:17,"Occurance","1"
"89","PRNT.1.49",1,"Print Statement",2010-12-07 06:22:23,"Occurance","1"
"90","PRNT.1.50",1,"Print Statement",2010-12-07 12:01:44,"Occurance","1"
"91","PRNT.1.51",1,"Print Statement",2010-12-08 00:32:45,"Occurance","1"
"92","PRNT.1.52",1,"Print Statement",2010-12-10 20:48:44,"Occurance","1"
"93","PRNT.1.53",1,"Print Statement",2010-12-11 01:16:01,"Occurance","1"
"94","PRNT.1.54",1,"Print Statement",2010-12-11 14:19:03,"Occurance","1"
"95","PRNT.1.55",1,"Print Statement",2010-12-18 13:16:59,"Occurance","1"
"96","PRNT.1.56",1,"Print Statement",2010-12-24 18:57:09,"Occurance","1"
"97","PRNT.1.57",1,"Print Statement",2010-12-27 01:45:11,"Occurance","1"
"98","PRNT.1.58",1,"Print Statement",2010-12-29 22:25:34,"Occurance","1"
"99","PRNT.1.59",1,"Print Statement",2010-12-30 14:08:44,"Occurance","1"
"100","PRNT.1.60",1,"Print Statement",2011-01-09 12:41:01,"Occurance","1"
"101","PRNT.1.61",1,"Print Statement",2011-01-11 07:29:46,"Occurance","1"
"102","PRNT.1.62",1,"Print Statement",2011-01-11 13:24:11,"Occurance","1"
"103","PRNT.1.63",1,"Print Statement",2011-01-12 17:46:45,"Occurance","1"
"104","PRNT.1.64",1,"Print Statement",2011-01-14 16:18:46,"Occurance","1"
"105","PRNT.1.65",1,"Print Statement",2011-01-18 21:30:49,"Occurance","1"
"106","PRNT.1.66",1,"Print Statement",2011-01-21 01:03:26,"Occurance","1"
"107","PRNT.1.67",1,"Print Statement",2011-01-24 16:44:35,"Occurance","1"
"108","PRNT.1.68",1,"Print Statement",2011-01-24 22:34:19,"Occurance","1"
"109","PRNT.1.69",1,"Print Statement",2011-01-25 13:52:20,"Occurance","1"
"110","PRNT.1.70",1,"Print Statement",2011-01-27 19:40:57,"Occurance","1"
"111","PRNT.1.71",1,"Print Statement",2011-01-30 16:20:59,"Occurance","1"
"112","PRNT.1.72",1,"Print Statement",2011-01-30 19:45:24,"Occurance","1"
"113","PRNT.1.73",1,"Print Statement",2011-02-01 16:47:00,"Occurance","1"
"114","PRNT.1.74",1,"Print Statement",2011-02-05 23:14:21,"Occurance","1"
"115","PRNT.1.75",1,"Print Statement",2011-02-06 12:28:25,"Occurance","1"
"116","PRNT.1.76",1,"Print Statement",2011-02-14 21:40:26,"Occurance","1"
"117","PRNT.1.77",1,"Print Statement",2011-02-16 01:51:57,"Occurance","1"
"118","PRNT.1.78",1,"Print Statement",2011-02-19 13:31:31,"Occurance","1"
"119","PRNT.1.79",1,"Print Statement",2011-02-25 00:01:52,"Occurance","1"
"120","PRNT.1.80",1,"Print Statement",2011-02-26 06:12:28,"Occurance","1"
"121","PRNT.1.81",1,"Print Statement",2011-02-27 10:19:02,"Occurance","1"
"122","PRNT.1.82",1,"Print Statement",2011-02-28 16:34:44,"Occurance","1"
"123","PRNT.1.83",1,"Print Statement",2011-03-03 23:36:14,"Occurance","1"
"124","PRNT.1.84",1,"Print Statement",2011-03-09 03:23:13,"Occurance","1"
"125","PRNT.1.85",1,"Print Statement",2011-03-11 18:01:48,"Occurance","1"
"126","PRNT.1.86",1,"Print Statement",2011-03-13 00:31:15,"Occurance","1"
"127","PRNT.1.87",1,"Print Statement",2011-03-13 11:10:22,"Occurance","1"
"128","PRNT.1.88",1,"Print Statement",2011-03-14 02:21:02,"Occurance","1"
"129","PRNT.1.89",1,"Print Statement",2011-03-14 10:24:18,"Occurance","1"
"130","PRNT.1.90",1,"Print Statement",2011-03-24 10:04:02,"Occurance","1"
"131","PRNT.1.91",1,"Print Statement",2011-03-29 20:04:44,"Occurance","1"
"132","PRNT.1.92",1,"Print Statement",2011-03-30 17:16:50,"Occurance","1"
"133","PRNT.1.93",1,"Print Statement",2011-04-12 18:38:15,"Occurance","1"
"134","PRNT.1.94",1,"Print Statement",2011-04-17 03:27:27,"Occurance","1"
"135","PRNT.1.95",1,"Print Statement",2011-04-19 13:06:53,"Occurance","1"
"136","PRNT.1.96",1,"Print Statement",2011-04-22 19:29:53,"Occurance","1"
"137","PRNT.1.97",1,"Print Statement",2011-04-23 05:10:47,"Occurance","1"
"138","PRNT.1.98",1,"Print Statement",2011-04-30 04:04:28,"Occurance","1"
"139","PRNT.1.99",1,"Print Statement",2011-05-05 19:04:46,"Occurance","1"
"140","PRNT.1.100",1,"Print Statement",2011-05-07 02:43:45,"Occurance","1"
"141","PRNT.1.101",1,"Print Statement",2011-05-07 03:00:31,"Occurance","1"
"142","PRNT.1.102",1,"Print Statement",2011-05-13 10:53:08,"Occurance","1"
"143","PRNT.1.103",1,"Print Statement",2011-05-15 04:43:51,"Occurance","1"
"144","PRNT.1.104",1,"Print Statement",2011-05-25 18:17:57,"Occurance","1"
"145","PRNT.1.105",1,"Print Statement",2011-05-28 13:24:18,"Occurance","1"
"146","PRNT.1.106",1,"Print Statement",2011-06-03 08:42:19,"Occurance","1"
"147","PRNT.1.107",1,"Print Statement",2011-06-04 19:00:34,"Occurance","1"
"148","PRNT.1.108",1,"Print Statement",2011-06-10 12:19:56,"Occurance","1"
"149","PRNT.1.109",1,"Print Statement",2011-06-22 01:41:38,"Occurance","1"
"150","PRNT.1.110",1,"Print Statement",2011-06-28 17:52:06,"Occurance","1"
"151","PRNT.1.111",1,"Print Statement",2011-06-29 08:18:21,"Occurance","1"
"152","PRNT.1.112",1,"Print Statement",2011-07-01 03:09:58,"Occurance","1"
"153","PRNT.1.113",1,"Print Statement",2011-07-01 09:32:07,"Occurance","1"
"154","PRNT.1.114",1,"Print Statement",2011-07-05 00:39:24,"Occurance","1"
"155","PRNT.1.115",1,"Print Statement",2011-07-05 17:21:05,"Occurance","1"
"156","PRNT.1.116",1,"Print Statement",2011-07-05 18:27:36,"Occurance","1"
"157","PRNT.1.117",1,"Print Statement",2011-07-06 12:08:42,"Occurance","1"
"158","PRNT.1.118",1,"Print Statement",2011-07-09 08:23:57,"Occurance","1"
"159","PRNT.1.119",1,"Print Statement",2011-07-11 10:00:42,"Occurance","1"
"160","PRNT.1.120",1,"Print Statement",2011-07-11 13:15:39,"Occurance","1"
"161","PRNT.1.121",1,"Print Statement",2011-07-12 16:00:24,"Occurance","1"
"162","PRNT.1.122",1,"Print Statement",2011-07-16 10:11:59,"Occurance","1"
"163","PRNT.1.123",1,"Print Statement",2011-07-20 23:48:23,"Occurance","1"
"164","PRNT.1.124",1,"Print Statement",2011-07-23 00:25:04,"Occurance","1"
"165","PRNT.1.125",1,"Print Statement",2011-08-07 18:22:12,"Occurance","1"
"166","PRNT.1.126",1,"Print Statement",2011-08-15 04:10:57,"Occurance","1"
"167","PRNT.1.127",1,"Print Statement",2011-08-18 06:10:24,"Occurance","1"
"168","PRNT.1.128",1,"Print Statement",2011-08-18 07:49:58,"Occurance","1"
"169","PRNT.1.129",1,"Print Statement",2011-08-19 19:04:46,"Occurance","1"
"170","PRNT.1.130",1,"Print Statement",2011-08-20 18:23:31,"Occurance","1"
"171","PRNT.1.131",1,"Print Statement",2011-08-29 08:30:51,"Occurance","1"
"172","PRNT.1.132",1,"Print Statement",2011-08-31 20:50:21,"Occurance","1"
"173","PRNT.1.133",1,"Print Statement",2011-09-02 08:07:29,"Occurance","1"
"174","PRNT.1.134",1,"Print Statement",2011-09-02 09:10:55,"Occurance","1"
"175","PRNT.1.135",1,"Print Statement",2011-09-14 18:08:32,"Occurance","1"
"176","PRNT.1.136",1,"Print Statement",2011-09-17 19:53:39,"Occurance","1"
"177","PRNT.1.137",1,"Print Statement",2011-09-23 23:17:50,"Occurance","1"
"178","PRNT.1.138",1,"Print Statement",2011-09-24 23:17:27,"Occurance","1"
"179","PRNT.1.139",1,"Print Statement",2011-09-29 04:16:35,"Occurance","1"
"180","PRNT.1.140",1,"Print Statement",2011-09-29 04:43:42,"Occurance","1"
"181","PRNT.1.141",1,"Print Statement",2011-09-30 02:37:55,"Occurance","1"
"182","PRNT.1.142",1,"Print Statement",2011-10-01 01:23:33,"Occurance","1"
"183","PRNT.1.143",1,"Print Statement",2011-10-06 01:57:39,"Occurance","1"
"184","PRNT.1.144",1,"Print Statement",2011-10-06 05:38:57,"Occurance","1"
"185","PRNT.1.145",1,"Print Statement",2011-10-09 23:19:26,"Occurance","1"
"186","PRNT.1.146",1,"Print Statement",2011-10-10 18:35:51,"Occurance","1"
"187","PRNT.1.147",1,"Print Statement",2011-10-11 22:47:57,"Occurance","1"
"188","PRNT.1.148",1,"Print Statement",2011-10-17 04:04:04,"Occurance","1"
"189","PRNT.1.149",1,"Print Statement",2011-10-23 09:01:13,"Occurance","1"
"190","PRNT.1.150",1,"Print Statement",2011-10-26 19:00:27,"Occurance","1"
"191","PRNT.1.151",1,"Print Statement",2011-10-28 00:32:02,"Occurance","1"
"192","PRNT.1.152",1,"Print Statement",2011-10-30 12:12:50,"Occurance","1"
"193","PRNT.1.153",1,"Print Statement",2011-10-30 17:34:27,"Occurance","1"
"194","PRNT.1.154",1,"Print Statement",2011-10-31 02:40:47,"Occurance","1"
"195","PRNT.1.155",1,"Print Statement",2011-11-01 18:48:20,"Occurance","1"
"196","PRNT.1.156",1,"Print Statement",2011-11-03 17:35:47,"Occurance","1"
"197","PRNT.1.157",1,"Print Statement",2011-11-09 10:07:52,"Occurance","1"
"198","PRNT.1.158",1,"Print Statement",2011-11-14 18:03:53,"Occurance","1"
"199","PRNT.1.159",1,"Print Statement",2011-11-15 05:18:05,"Occurance","1"
"200","PRNT.1.160",1,"Print Statement",2011-11-16 04:31:31,"Occurance","1"
"201","PRNT.1.161",1,"Print Statement",2011-11-25 06:44:41,"Occurance","1"
"202","PRNT.1.162",1,"Print Statement",2011-12-02 06:31:40,"Occurance","1"
"203","PRNT.1.163",1,"Print Statement",2011-12-02 07:54:37,"Occurance","1"
"204","PRNT.1.164",1,"Print Statement",2011-12-02 12:13:18,"Occurance","1"
"205","PRNT.1.165",1,"Print Statement",2011-12-06 07:09:20,"Occurance","1"
"206","PRNT.1.166",1,"Print Statement",2011-12-06 22:45:07,"Occurance","1"
"207","PRNT.1.167",1,"Print Statement",2011-12-07 10:29:37,"Occurance","1"
"208","PRNT.1.168",1,"Print Statement",2011-12-07 23:56:17,"Occurance","1"
"209","PRNT.1.169",1,"Print Statement",2011-12-08 11:55:54,"Occurance","1"
"210","PRNT.1.170",1,"Print Statement",2011-12-11 17:28:44,"Occurance","1"
"211","PRNT.1.171",1,"Print Statement",2011-12-13 16:50:16,"Occurance","1"
"212","PRNT.1.172",1,"Print Statement",2011-12-17 15:00:20,"Occurance","1"
"213","PRNT.1.173",1,"Print Statement",2011-12-20 01:03:49,"Occurance","1"
"214","PRNT.1.174",1,"Print Statement",2011-12-20 14:15:18,"Occurance","1"
"215","PRNT.1.175",1,"Print Statement",2011-12-21 01:14:18,"Occurance","1"
"216","PRNT.1.176",1,"Print Statement",2011-12-21 22:35:47,"Occurance","1"
"217","PRNT.1.177",1,"Print Statement",2011-12-29 02:56:45,"Occurance","1"
"218","PRNT.1.178",1,"Print Statement",2011-12-31 10:46:11,"Occurance","1"
"219","PRNT.1.179",1,"Print Statement",2012-01-05 04:51:07,"Occurance","1"
"220","PRNT.1.180",1,"Print Statement",2012-01-05 09:47:15,"Occurance","1"
"221","PRNT.1.181",1,"Print Statement",2012-01-06 14:15:26,"Occurance","1"
"222","PRNT.1.182",1,"Print Statement",2012-01-08 09:55:12,"Occurance","1"
"223","PRNT.1.183",1,"Print Statement",2012-01-09 07:14:15,"Occurance","1"
"224","PRNT.1.184",1,"Print Statement",2012-01-11 21:02:04,"Occurance","1"
"225","PRNT.1.185",1,"Print Statement",2012-01-12 09:04:11,"Occurance","1"
"226","PRNT.1.186",1,"Print Statement",2012-01-22 10:12:41,"Occurance","1"
"227","PRNT.1.187",1,"Print Statement",2012-01-26 02:04:41,"Occurance","1"
"228","PRNT.1.188",1,"Print Statement",2012-01-30 23:08:07,"Occurance","1"
"229","PRNT.1.189",1,"Print Statement",2012-02-01 23:23:19,"Occurance","1"
"230","PRNT.1.190",1,"Print Statement",2012-02-08 21:01:27,"Occurance","1"
"231","PRNT.1.191",1,"Print Statement",2012-02-09 06:49:46,"Occurance","1"
"232","PRNT.1.192",1,"Print Statement",2012-02-21 02:31:18,"Occurance","1"
"233","PRNT.1.193",1,"Print Statement",2012-02-21 11:27:08,"Occurance","1"
"234","PRNT.1.194",1,"Print Statement",2012-02-22 17:58:17,"Occurance","1"
"235","PRNT.1.195",1,"Print Statement",2012-02-26 22:08:44,"Occurance","1"
"236","PRNT.1.196",1,"Print Statement",2012-03-01 10:45:48,"Occurance","1"
"237","PRNT.1.197",1,"Print Statement",2012-03-03 17:05:11,"Occurance","1"
"238","PRNT.1.198",1,"Print Statement",2012-03-03 22:39:18,"Occurance","1"
"239","PRNT.1.199",1,"Print Statement",2012-03-05 00:29:08,"Occurance","1"
"240","PRNT.1.200",1,"Print Statement",2012-03-08 10:10:54,"Occurance","1"
"241","PRNT.1.201",1,"Print Statement",2012-03-10 21:21:25,"Occurance","1"
"242","PRNT.1.202",1,"Print Statement",2012-03-17 01:09:32,"Occurance","1"
"243","PRNT.1.203",1,"Print Statement",2012-03-18 19:22:09,"Occurance","1"
"244","PRNT.1.204",1,"Print Statement",2012-03-24 02:03:30,"Occurance","1"
"245","PRNT.1.205",1,"Print Statement",2012-03-27 04:06:51,"Occurance","1"
"246","PRNT.1.206",1,"Print Statement",2012-04-05 13:40:50,"Occurance","1"
"247","PRNT.1.207",1,"Print Statement",2012-04-09 02:32:57,"Occurance","1"
"248","PRNT.1.208",1,"Print Statement",2012-04-15 10:52:59,"Occurance","1"
"249","PRNT.1.209",1,"Print Statement",2012-04-15 22:52:32,"Occurance","1"
"250","PRNT.1.210",1,"Print Statement",2012-04-18 08:35:08,"Occurance","1"
"251","PRNT.1.211",1,"Print Statement",2012-04-20 09:16:22,"Occurance","1"
"252","PRNT.1.212",1,"Print Statement",2012-04-24 04:19:56,"Occurance","1"
"253","PRNT.1.213",1,"Print Statement",2012-04-28 06:33:01,"Occurance","1"
"254","PRNT.1.214",1,"Print Statement",2012-04-29 05:49:49,"Occurance","1"
"255","PRNT.1.215",1,"Print Statement",2012-04-29 05:56:22,"Occurance","1"
"256","PRNT.1.216",1,"Print Statement",2012-04-29 15:47:20,"Occurance","1"
"257","PRNT.1.217",1,"Print Statement",2012-05-02 17:23:27,"Occurance","1"
"258","PRNT.1.218",1,"Print Statement",2012-05-06 04:05:10,"Occurance","1"
"259","PRNT.1.219",1,"Print Statement",2012-05-10 20:13:50,"Occurance","1"
"260","PRNT.1.220",1,"Print Statement",2012-05-21 11:12:24,"Occurance","1"
"261","PRNT.1.221",1,"Print Statement",2012-05-29 07:37:01,"Occurance","1"
"262","PRNT.1.222",1,"Print Statement",2012-05-29 08:11:56,"Occurance","1"
"263","PRNT.1.223",1,"Print Statement",2012-05-31 04:05:12,"Occurance","1"
"264","PRNT.1.224",1,"Print Statement",2012-06-02 15:57:30,"Occurance","1"
"265","PRNT.1.225",1,"Print Statement",2012-06-03 19:46:54,"Occurance","1"
"266","PRNT.1.226",1,"Print Statement",2012-06-04 09:27:22,"Occurance","1"
"267","PRNT.1.227",1,"Print Statement",2012-06-04 15:54:11,"Occurance","1"
"268","PRNT.1.228",1,"Print Statement",2012-06-09 16:30:54,"Occurance","1"
"269","PRNT.1.229",1,"Print Statement",2012-06-10 11:00:42,"Occurance","1"
"270","PRNT.1.230",1,"Print Statement",2012-06-11 11:00:42,"Occurance","1"
"271","PRNT.1.231",1,"Print Statement",2012-06-15 01:52:06,"Occurance","1"
"272","PRNT.1.232",1,"Print Statement",2012-06-15 14:16:23,"Occurance","1"
"273","PRNT.1.233",1,"Print Statement",2012-06-16 05:53:02,"Occurance","1"
"274","PRNT.1.234",1,"Print Statement",2012-06-16 08:34:18,"Occurance","1"
"275","PRNT.1.235",1,"Print Statement",2012-06-18 21:20:35,"Occurance","1"
"276","PRNT.1.236",1,"Print Statement",2012-06-27 10:18:59,"Occurance","1"
"277","PRNT.1.237",1,"Print Statement",2012-06-28 13:11:50,"Occurance","1"
"278","PRNT.1.238",1,"Print Statement",2012-06-28 21:41:21,"Occurance","1"
"279","PRNT.1.239",1,"Print Statement",2012-07-02 20:18:56,"Occurance","1"
"280","PRNT.1.240",1,"Print Statement",2012-07-05 02:13:56,"Occurance","1"
"281","PRNT.1.241",1,"Print Statement",2012-07-05 22:18:12,"Occurance","1"
"282","PRNT.1.242",1,"Print Statement",2012-07-07 04:13:30,"Occurance","1"
"283","PRNT.1.243",1,"Print Statement",2012-07-13 22:55:43,"Occurance","1"
"284","PRNT.1.244",1,"Print Statement",2012-07-17 04:49:02,"Occurance","1"
"285","PRNT.1.245",1,"Print Statement",2012-07-17 08:17:37,"Occurance","1"
"286","PRNT.1.246",1,"Print Statement",2012-07-17 09:25:06,"Occurance","1"
"287","PRNT.1.247",1,"Print Statement",2012-07-18 04:07:14,"Occurance","1"
"288","PRNT.1.248",1,"Print Statement",2012-07-21 09:35:26,"Occurance","1"
"289","PRNT.1.249",1,"Print Statement",2012-07-25 05:19:06,"Occurance","1"
"290","PRNT.1.250",1,"Print Statement",2012-07-25 16:08:56,"Occurance","1"
"291","PRNT.1.251",1,"Print Statement",2012-08-03 20:29:34,"Occurance","1"
"292","PRNT.1.252",1,"Print Statement",2012-08-04 09:00:31,"Occurance","1"
"293","PRNT.1.253",1,"Print Statement",2012-08-05 03:38:53,"Occurance","1"
"294","PRNT.1.254",1,"Print Statement",2012-08-20 16:38:59,"Occurance","1"
"295","PRNT.1.255",1,"Print Statement",2012-08-22 11:00:07,"Occurance","1"
"296","PRNT.1.256",1,"Print Statement",2012-08-25 08:32:39,"Occurance","1"
"297","PRNT.1.257",1,"Print Statement",2012-09-02 18:19:49,"Occurance","1"
"298","PRNT.1.258",1,"Print Statement",2012-09-08 11:19:05,"Occurance","1"
"299","PRNT.1.259",1,"Print Statement",2012-09-10 20:20:24,"Occurance","1"
"300","PRNT.1.260",1,"Print Statement",2012-09-14 02:27:04,"Occurance","1"
"301","PRNT.1.261",1,"Print Statement",2012-09-20 22:13:16,"Occurance","1"
"302","PRNT.1.262",1,"Print Statement",2012-09-21 08:00:45,"Occurance","1"
"303","PRNT.1.263",1,"Print Statement",2012-09-25 01:25:59,"Occurance","1"
"304","PRNT.1.264",1,"Print Statement",2012-10-10 20:50:34,"Occurance","1"
"305","PRNT.1.265",1,"Print Statement",2012-10-20 19:44:28,"Occurance","1"
"306","PRNT.1.266",1,"Print Statement",2012-10-21 20:58:03,"Occurance","1"
"307","PRNT.1.267",1,"Print Statement",2012-10-24 06:13:52,"Occurance","1"
"308","PRNT.1.268",1,"Print Statement",2012-10-25 22:42:15,"Occurance","1"
"309","PRNT.1.269",1,"Print Statement",2012-10-26 22:33:01,"Occurance","1"
"310","PRNT.1.270",1,"Print Statement",2012-11-05 23:53:42,"Occurance","1"
"311","PRNT.1.271",1,"Print Statement",2012-11-08 17:58:33,"Occurance","1"
"312","PRNT.1.272",1,"Print Statement",2012-11-20 02:40:59,"Occurance","1"
"313","PRNT.1.273",1,"Print Statement",2012-11-21 11:20:04,"Occurance","1"
"314","PRNT.2.1",2,"Print Statement",2010-07-08 17:14:25,"Occurance","1"
"315","PRNT.2.2",2,"Print Statement",2010-11-01 14:23:53,"Occurance","1"
"316","PRNT.2.3",2,"Print Statement",2010-12-17 23:02:45,"Occurance","1"
"317","PRNT.2.4",2,"Print Statement",2011-12-06 09:41:22,"Occurance","1"
"318","PRNT.2.5",2,"Print Statement",2012-07-19 02:29:21,"Occurance","1"
"319","PRNT.2.6",2,"Print Statement",2012-11-24 19:48:39,"Occurance","1"
